time,undefended_attacks,activity,temp
1748337055.7502031,84,135,1.25
1748337095.7514744,90,137,1.5
1748337135.752426,91,176,1.75
1748337175.75357,82,451,2.0
1748337215.7538002,83,727,2.25
1748337255.75383,84,351,2.5
1748337295.754794,72,2518,2.75
1748337335.7555149,98,792,3.0
1748337375.7560039,9,1108,3.25
1748337415.7563436,97,181,1.25
1748337455.7563665,95,159,1.5
1748337495.7569962,81,289,1.75
1748337535.7572649,90,209,2.0
1748337575.757815,92,403,2.25
1748337615.7587316,89,570,2.5
1748337655.759395,61,807,2.75
1748337695.7600298,76,947,3.0
1748337735.760693,25,4311,3.25
1748337775.7609508,83,138,1.25
1748337815.762635,87,134,1.5
1748337855.763478,90,171,1.75
1748337895.76432,90,319,2.0
1748337935.7657564,85,255,2.25
1748337975.7657993,81,607,2.5
1748338015.7659247,79,820,2.75
1748338055.766274,86,749,3.0
1748338095.7667096,67,1680,3.25
1748338135.7669454,92,128,1.25
1748338175.7682064,97,154,1.5
1748338215.7693822,93,244,1.75
1748338255.7713244,90,467,2.0
1748338295.7720633,75,554,2.25
1748338335.772646,78,960,2.5
1748338375.7729623,21,3602,2.75
1748338415.7735853,62,1817,3.0
1748338455.7742116,51,2518,3.25
1748338495.7745874,88,105,1.25
1748338535.7748814,90,151,1.5
1748338575.7750294,92,192,1.75
1748338615.776024,93,374,2.0
1748338655.77653,71,817,2.25
1748338695.7773843,91,327,2.5
1748338735.7785683,81,1056,2.75
1748338775.7795293,73,1778,3.0
1748338815.780323,65,1559,3.25
1748338815.780323,65,1559,3.25
